2019-04-04 18:44:31,2019-04-04 18:45:19,48,
2019-04-05 18:44:31,2019-04-05 18:45:19,48,
2019-04-06 18:44:31,2019-04-06 18:45:19,48,
2019-04-07 18:44:31,2019-04-07 18:45:19,48,
2019-04-08 18:44:31,2019-04-08 18:45:19,48,
2019-04-09 18:44:31,2019-04-09 18:45:19,48,
2019-04-10 18:44:31,2019-04-10 18:45:19,48,
2019-04-11 18:44:31,2019-04-11 18:45:19,48,
2019-04-12 18:44:31,2019-04-12 18:45:19,48,
2019-04-13 18:44:31,2019-04-13 18:45:19,48,
2019-05-01 18:44:31,2019-05-01 18:45:19,48,
2019-05-02 18:44:31,2019-05-02 18:45:19,48,
2019-05-03 18:44:31,2019-05-03 18:45:19,48,
2019-05-04 18:44:31,2019-05-04 18:45:19,48,
2019-05-05 18:44:31,2019-05-05 18:45:19,48,
2019-05-05 18:45:43,2019-05-05 18:46:04,21,
2019-05-05 18:47:48,2019-05-05 18:47:59,11,
2019-05-05 18:48:08,2019-05-05 18:48:51,43,
2019-05-05 18:49:18,2019-05-05 18:50:19,61,
2019-05-05 18:50:38,2019-05-05 18:51:12,34,
2019-05-05 18:58:43,2019-05-05 18:59:41,58,
2019-05-05 19:51:39,2019-05-05 19:53:28,109,
2019-05-05 19:56:49,2019-05-05 19:58:21,92,
2019-05-08 00:52:52,2019-05-08 00:53:08,16,
2019-05-10 09:32:17,2019-05-10 09:32:52,35,
2019-05-10 13:42:16,2019-05-10 13:42:53,37,
2019-06-02 19:30:51,2019-06-02 19:31:21,30,
